Maze_ID,Prolific_ID,Age,Icon,Website,Speed,Misclick_Rate,,,,,,,
508555010,699dd5c23229ec878aad1b0d,18-35,IWTL,2,3.12,0,,,,,,,
508555010,699dd5c23229ec878aad1b0d,18-35,IWTL,3,11.02,75,,,,,,,
508555010,699dd5c23229ec878aad1b0d,18-35,IWTL,4,1.79,0,,,,,,,
508555010,699dd5c23229ec878aad1b0d,18-35,IWTL,5,2.75,0,,,,,,,
508555010,699dd5c23229ec878aad1b0d,18-35,IWTL,6,2.16,0,,,,,,,
508554911,65da0c93826bdadcf98372a9,60+,IO,1,20.68,80,,,,,,,
508554911,65da0c93826bdadcf98372a9,60+,IO,2,17.86,66.7,,,,,,,
508554911,65da0c93826bdadcf98372a9,60+,IO,3,15,50,,,,,,,
508554911,65da0c93826bdadcf98372a9,60+,IO,4,4.52,0,,,,,,,
508554911,65da0c93826bdadcf98372a9,60+,IO,5,7.1,0,,,,,,,
508554911,65da0c93826bdadcf98372a9,60+,IO,6,3.85,0,,,,,,,
508554808,69a8e603a6ee59938f40ac7a,18-35,TO,1,4.13,0,,,,,,,
508554808,69a8e603a6ee59938f40ac7a,18-35,TO,2,4.47,0,,,,,,,
508554808,69a8e603a6ee59938f40ac7a,18-35,TO,3,22.98,90,,,,,,,
508554808,69a8e603a6ee59938f40ac7a,18-35,TO,4,2.77,0,,,,,,,
508554808,69a8e603a6ee59938f40ac7a,18-35,TO,5,4.25,0,,,,,,,
508554808,69a8e603a6ee59938f40ac7a,18-35,TO,6,3.57,0,,,,,,,
508554805,5ac5260dfa3b4e0001736dd3,18-35,IWTL,1,4.81,50,,,,,,,
508554805,5ac5260dfa3b4e0001736dd3,18-35,IWTL,2,4.27,0,,,,,,,
508554805,5ac5260dfa3b4e0001736dd3,18-35,IWTL,3,14.49,93.3,,,,,,,
508554805,5ac5260dfa3b4e0001736dd3,18-35,IWTL,4,8,83.3,,,,,,,
508554805,5ac5260dfa3b4e0001736dd3,18-35,IWTL,5,3.29,0,,,,,,,
508554805,5ac5260dfa3b4e0001736dd3,18-35,IWTL,6,2.29,0,,,,,,,
508554637,654f0fa9a6d9987cb675ec64,60+,IO,1,30.18,50,,,,,,,
508554637,654f0fa9a6d9987cb675ec64,60+,IO,2,5.74,0,,,,,,,
508554637,654f0fa9a6d9987cb675ec64,60+,IO,3,26.94,91.7,,,,,,,
508554637,654f0fa9a6d9987cb675ec64,60+,IO,4,8.21,0,,,,,,,
508554637,654f0fa9a6d9987cb675ec64,60+,IO,5,14.53,75,,,,,,,
508554637,654f0fa9a6d9987cb675ec64,60+,IO,6,7.45,0,,,,,,,
508554657,69ab2bb551070d7dcf9c32dd,18-35,TO,1,9.55,66.7,,,,,,,
508554657,69ab2bb551070d7dcf9c32dd,18-35,TO,2,3.62,0,,,,,,,
508554657,69ab2bb551070d7dcf9c32dd,18-35,TO,3,7.21,0,,,,,,,
508554657,69ab2bb551070d7dcf9c32dd,18-35,TO,4,2.34,0,,,,,,,
508554657,69ab2bb551070d7dcf9c32dd,18-35,TO,5,4.62,0,,,,,,,
508554657,69ab2bb551070d7dcf9c32dd,18-35,TO,6,5.29,0,,,,,,,
508554655,663e45859f8c047d9fec1d2c,18-35,IWTL,1,18.97,83.3,,,,,,,
508554655,663e45859f8c047d9fec1d2c,18-35,IWTL,2,2.88,0,,,,,,,
508554655,663e45859f8c047d9fec1d2c,18-35,IWTL,3,9.88,80,,,,,,,
508554655,663e45859f8c047d9fec1d2c,18-35,IWTL,4,7.78,75,,,,,,,
508554655,663e45859f8c047d9fec1d2c,18-35,IWTL,5,3.72,0,,,,,,,
508554655,663e45859f8c047d9fec1d2c,18-35,IWTL,6,2.87,0,,,,,,,
504886922,674222658982ea9f4a1084cd,60+,TO,1,2.4,0,,,,,,,
504886922,674222658982ea9f4a1084cd,60+,TO,2,1.52,0,,,,,,,
504886922,674222658982ea9f4a1084cd,60+,TO,3,10.11,80,,,,,,,
504886922,674222658982ea9f4a1084cd,60+,TO,4,4.95,50,,,,,,,
504886922,674222658982ea9f4a1084cd,60+,TO,5,3.42,0,,,,,,,
504886922,674222658982ea9f4a1084cd,60+,TO,6,4.67,0,,,,,,,
508554267,6681b3ed810888157d4a230f,60+,TO,1,12.45,87.5,,,,,,,
508554267,6681b3ed810888157d4a230f,60+,TO,2,5.55,0,,,,,,,
508554267,6681b3ed810888157d4a230f,60+,TO,3,62.9,98.2,,,,,,,
508554267,6681b3ed810888157d4a230f,60+,TO,4,5.96,0,,,,,,,
508554267,6681b3ed810888157d4a230f,60+,TO,5,4.28,0,,,,,,,
508554267,6681b3ed810888157d4a230f,60+,TO,6,9.07,75,,,,,,,
505144738,6508adaced024f8da237ff03,60+,IO,1,12.13,0,,,,,,,
505144738,6508adaced024f8da237ff03,60+,IO,2,24.28,50,,,,,,,
505144738,6508adaced024f8da237ff03,60+,IO,3,43.81,66.7,,,,,,,
505144738,6508adaced024f8da237ff03,60+,IO,4,5.61,0,,,,,,,
505144738,6508adaced024f8da237ff03,60+,IO,5,8.72,0,,,,,,,
505144738,6508adaced024f8da237ff03,60+,IO,6,6.78,0,,,,,,,
508547470,64b1fcf39321437ac4ebaa8f,60+,IWTL,1,2.19,0,,,,,,,
508547470,64b1fcf39321437ac4ebaa8f,60+,IWTL,2,1.98,0,,,,,,,
508547470,64b1fcf39321437ac4ebaa8f,60+,IWTL,3,9.26,0,,,,,,,
508547470,64b1fcf39321437ac4ebaa8f,60+,IWTL,4,15.99,66.7,,,,,,,
508547470,64b1fcf39321437ac4ebaa8f,60+,IWTL,5,3.88,0,,,,,,,
508547470,64b1fcf39321437ac4ebaa8f,60+,IWTL,6,2.46,0,,,,,,,
508547493,699abd381275bc846feab7df,18-35,TO,1,3.58,0,,,,,,,
508547493,699abd381275bc846feab7df,18-35,TO,2,4.3,0,,,,,,,
508547493,699abd381275bc846feab7df,18-35,TO,3,29.89,87.5,,,,,,,
508547493,699abd381275bc846feab7df,18-35,TO,4,5.21,0,,,,,,,
508547493,699abd381275bc846feab7df,18-35,TO,5,10.01,0,,,,,,,
508547493,699abd381275bc846feab7df,18-35,TO,6,2.38,0,,,,,,,
508547160,65de7834bf9681ece413e847,60+,TO,1,2.58,0,,,,,,,
508547160,65de7834bf9681ece413e847,60+,TO,2,4.5,0,,,,,,,
508547160,65de7834bf9681ece413e847,60+,TO,3,6.71,50,,,,,,,
508547160,65de7834bf9681ece413e847,60+,TO,4,2.15,0,,,,,,,
508547160,65de7834bf9681ece413e847,60+,TO,5,2.65,0,,,,,,,
508547160,65de7834bf9681ece413e847,60+,TO,6,3.26,0,,,,,,,
508547177,66594968a8fca6ea85c9ac19,18-35,IO,1,2.9,0,,,,,,,
508547177,66594968a8fca6ea85c9ac19,18-35,IO,2,2.82,0,,,,,,,
508547177,66594968a8fca6ea85c9ac19,18-35,IO,3,10.26,80,,,,,,,
508547177,66594968a8fca6ea85c9ac19,18-35,IO,4,3.98,50,,,,,,,
508547177,66594968a8fca6ea85c9ac19,18-35,IO,5,3.29,0,,,,,,,
508547177,66594968a8fca6ea85c9ac19,18-35,IO,6,2.58,0,,,,,,,
508552491,63dc7645c743f938fac18036,18-35,IO,1,12.56,75,,,,,,,
508552491,63dc7645c743f938fac18036,18-35,IO,2,3.78,0,,,,,,,
508552491,63dc7645c743f938fac18036,18-35,IO,3,10.81,66.7,,,,,,,
508552491,63dc7645c743f938fac18036,18-35,IO,4,4.12,50,,,,,,,
508552491,63dc7645c743f938fac18036,18-35,IO,5,3.74,0,,,,,,,
508552491,63dc7645c743f938fac18036,18-35,IO,6,2.59,0,,,,,,,
